Taylor Gabriel ,@NYJ,16,0,0,0,0,0,341,1,0,0,0,40.1,0,0,40,0,40
Travis Benjamin ,@NYJ,16,0,0,0,11,0,324,1,0,0,0,39.5,0,1,38,0,39
Jeremy Kerley ,CLE,16,0,0,0,12,0,320,1,0,0,0,39.2,0,1,38,0,39
Miles Austin ,@ATL,16,0,0,0,0,0,330,1,0,0,0,39,0,0,39,0,39
Ty Montgomery ,@CHI,16,0,0,0,0,0,324,1,0,0,0,38.4,0,0,38,0,38
Kenny Bell ,TEN,16,0,0,0,0,0,317,1,0,0,0,37.7,0,0,37,0,37
Brandon Gibson ,PIT,16,0,0,0,0,0,312,1,0,0,0,37.2,0,0,37,0,37
Preston Parker ,@DAL,16,0,0,0,0,0,309,1,0,0,0,36.9,0,0,36,0,36
Jeff Janis ,@CHI,16,0,0,0,0,0,246,2,0,0,0,36.6,0,0,36,0,36
Marlon Brown ,@DEN,16,0,0,0,0,0,284,1,0,0,0,34.4,0,0,34,0,34
Bruce Ellington ,MIN,16,0,0,0,17,0,203,2,0,0,0,34,0,1,32,0,33
Josh Huff ,@ATL,16,0,0,0,0,0,279,1,0,0,0,33.9,0,0,33,0,33
J.J. Nelson ,NO,14,0,0,0,0,0,271,1,0,0,0,33.1,0,0,33,0,33
Paul Richardson ,@STL,16,0,0,0,0,0,270,1,0,0,0,33,0,0,33,0,33
Joseph Morgan ,@ARI,16,0,0,0,20,0,247,1,0,0,0,32.7,0,2,30,0,32
Brenton Bersin ,@JAC,13,0,0,0,0,0,220,1,0,0,0,28,0,0,28,0,28
Damaris Johnson ,KC,10,0,0,0,15,0,260,0,0,0,0,27.5,0,1,26,0,27
Chris Givens ,SEA,14,0,0,0,0,0,203,1,0,0,0,26.3,0,0,26,0,26
Denarius Moore ,@OAK,16,0,0,0,0,0,202,1,0,0,0,26.2,0,0,26,0,26
Stefon Diggs ,@SF,10,0,0,0,0,0,244,0,0,0,0,24.4,0,0,24,0,24
Michael Campanaro ,@DEN,12,0,0,0,0,0,173,1,0,0,0,23.3,0,0,23,0,23
Lance Moore ,@SD,11,0,0,0,0,0,158,1,0,0,0,21.8,0,0,21,0,21
Jamison Crowder ,MIA,14,0,0,0,13,0,195,0,0,0,0,20.8,0,1,19,0,20
Jason Avant ,@HOU,15,0,0,0,0,0,207,0,0,0,0,20.7,0,0,20,0,20
Jarrett Boykin ,@JAC,13,0,0,0,0,0,195,0,0,0,0,19.5,0,0,19,0,19
